title,abstract
"Two States, Two Paths to Clean Energy","Where California requires lengthy environmental assessments for clean-energy projects, Texas rushes ahead with wind farms."
Energy Crisis or Bust,"Interest in renewable energy has brought to the fore the question of harnessing the power of female breasts. There’s already a “bra-pod,” which Adrienne So, writing on Slate, wants to take to the next level:"
Portugal Gives Itself a Clean-Energy Makeover,"The country’s experience in converting to renewable power shows rapid progress is achievable, but also highlights the price."
Tariffs to Boost Clean Energy?,Policymakers in several states are considering a new tool to boost renewable energy production: feed-in tariffs.
What’s in a Name? FPL Energy Becomes ‘NextEra’,"FPL Energy, the unit of FPL Group that is in charge of renewables, will hereafter be called NextEra Energy Resources."
HP to Power Texas Data Centers With Wind Energy,A combination of falling prices and greater pressure for companies to show action to fight climate change has led corporations to buy renewable energy.
Biden Administration to Cut Costs for Wind and Solar Energy Projects,Interior Secretary Deb Haaland said the government would sharply reduce the fees it charges to companies that operate on public lands.
"BP, Once a Renewables Leader, Bets $200 Million on Solar",The energy giant is returning to a business it backed away from after the costly and reputation-tarnishing Gulf of Mexico oil spill.
"Two States, Two Paths to Clean Energy","Where California requires lengthy environmental assessments for clean-energy projects, Texas rushes ahead with wind farms."
Goldman to Put Horizon Wind Energy Up for Sale,"Goldman Sachs is putting its Horizon Wind Energy subsidiary up for sale, in a bet that the market for renewable energy is nearing a top. According to energy news Web site Sparkspread.com, which first reported the sale, Goldman might get around $1.5 billion for the Houston, Tex.-based company"
Passed: Bailout Plan Carrying Clean-Energy Tax Breaks,"For those of you who missed it, the Senate passed its version of the financial bailout plan, which was embroidered with unrelated tax credit extensions for the renewable energy industry. Now to the House."
Small Clean-Energy Producers Get a Boost,New laws are designed to help the state meet ambitious renewable energy goals and beef up its solar industry.
All’s Not Fair When it Comes to Energy Subsidies,A new analysis shows that countries around the world are subsidizing fossil fuels more than 10 times as much as renewable energy sources.
"Chile’s Energy Transformation Is Powered by Wind, Sun and Volcanoes","Once energy dependent, Chile is on track to become a renewables powerhouse with the potential to export electricity."
"Shift to Lower-Carbon Energy Is Too Slow, I.E.A. Report Warns","Low oil prices could exacerbate the threat to global warming by slowing the transition to cleaner power, according to the International Energy Agency."
Renewables Rise at Old Factories,"As the clean energy manufacturing base in this country grows, it often builds upon the facilities and expertise of struggling traditional industries such as steel or pulp and paper."
Obama Speech Pushes Clean Energy,President-elect Barack Obama pledged strong backing for clean energy and energy efficiency in a speech Thursday.
Turkey Lays the Foundation for an Alternative Energy Rush,Investors in Turkish renewable energy projects say they have been hampered by the government's slow progress in privatizing its energy markets.
A Clean Energy Uprising in California,"An election-day rebellion is underway in San Francisco against Pacific Gas & Electric, a big California utility."
Asia Pushes Hard for Clean Energy,"More than $250 billion a year will pour into renewable energy generation, two-thirds of Asia’s power investment, but the use of fossil fuels is also growing."
Google and G.E. Team Up on Energy Initiatives,Google and General Electric said they would team up on a technology and policy effort aimed at increasing the capacity and versatility of the power grid.
"In Energy Work, One Hand Giveth and the Other Taketh","President Bush supports the development of ethanol, wind power and other forms of renewable energy. So does Congress. But their goals differ in ways that compete for research dollars and are costing some government researchers their jobs.      About one research dollar in every five appropriated by Congress for the development of renewable energy sources is for a specific project inserted directly into the budget on behalf of a member of the House or Senate, and directed to a contractor or a university in the lawmaker's state or district. When ordered to pay for such pet projects, known as earmarks, the Energy Department reduces spending on similar projects at its own laboratories.  "
A New Energy Regulator Takes the Helm,The new Acting Chairman of the Federal Energy Regulatory Commission is an advocate of efficiency and renewables.
Powering Sustainable Energy for All,"At the World Future Energy Summit, I hope to produce quick action that can deliver real results for people and the planet."
$80 billion on energy: a good start,"Wrapped inside the economic stimulus package is about $80 billion in spending, loan guarantees and tax incentives aimed at promoting energy efficiency, renewable energy sources, higher-mileage cars and coal that is truly clean. As a stand-alone measure, these investments would amount to the biggest energy bill in history."
Chu to Unveil $350 Million Plan to Spread Clean Energy,The energy secretary prepares to announce a $350-million international project to spread clean energy technologies in poor places.
Google Energy Guru Will Head Policy Center at Stanford,"Dan W. Reicher, an energy expert who is leaving Google for Stanford, says that policy mechanisms will be critical to making progress on a shift to renewables."
Energy Leaders Blame Oil and Gas Subsidies for Weak Prospects,Powerful energy companies on Thursday blamed subsidies to oil and natural gas companies for damaging the ability of the clean-energy industry to recover from the economic slowdown.
Meet the Man With a Plan to Build Greener Golf Communities,"Hunter Meldman, the first sustainability director for the real estate firm Discovery Land Company, talks about the new focus on environmental preservation."
Small Clean-Energy Producers Get a Boost,New laws are designed to help the state meet ambitious renewable energy goals and beef up its solar industry.
From Oil to Solar: Saudi Arabia Plots a Shift to Renewables,"Riyadh plans to build a $300 million solar farm that would generate enough electricity to power around 40,000 homes, an example Saudi leaders hope will have positive consequences."
Clean Energy Learns to Compete,The harsher environment in Europe is fostering a tough-minded approach to investment that may be healthy for the effort to curb greenhouse gases.
Billions in Clean Energy Loans Go Unused as Coronavirus Ravages Economy,"As Congress rushes out trillions of dollars to prop up businesses, the Energy Department is holding on to tens of billions in clean energy loans."
BrightSource Energy Withdraws I.P.O.,"The solar power company BrightSource Energy, facing tough market conditions for renewable energy projects, has withdrawn its initial public offering."
A Carbon Tax Could Bolster Green Energy ,"Despite technological innovations, investment in alternative power generation is lagging. But one tool could trim carbon emissions on a meaningful scale."
These Funds Aim to Power Their Returns With Clean Energy,"Renewable energy funds can’t shutter a coal plant tomorrow, if that’s your goal, but they can pair profits with a commitment to a green economy."
Tax Credits for Energy Industry Are Under Scrutiny ,"Susan Combs, the state comptroller, stirred controversy last month when she said Texas’ growing wind energy industry should no longer receive tax credits."
Abu Dhabi Energy Company Aims for Solar-Powered Travel,"The Solar Impulse experimental flight program is one of a slew of international projects in which Masdar, a renewable energy company, has invested."
A Deeper Look at an Energy Analysis Raises Big Questions,Critics expose problems with an analysis of clean-energy options.
"Tax Cuts for Energy, Too",The tax package includes an extension for renewable energy grants and a tax credit for ethanol producers.
Banks Make Bets on Clean Energy,"Morgan Stanley, Goldman Sachs and Lehman Brothers are just some of the Wall Street firms that are actively investing in renewable energy sources these days."
Leaving Green: Execs Quit Clean Energy Firms,"The past week has brought a spate of executive departures at renewable energy start-ups, Green Inc. reports."
South Korea: Big Plans for Solar Energy,"South Korea plans to break ground for the world’s biggest solar power plant as it tries to diversify its power sources and use cleaner energy, the government and developers said. The $170 million plant, being built in Shinan, near the southwestern tip of South Korea, is part of an effort to seek new and renewable energy sources and is scheduled to be completed by late 2008. The plant will produce more than 27,000 megawatt-hours of electricity a year, enough to supply 6,000 to 7,000 households, said Kim Ji Hun, president of the Korean subsidiary of SunTechnics, the German solar power company that will build the plant. It will be operated by Dongyang Engineering and Construction."
Our Energy Future,"WESTPORT, Conn.--The American people have not yet been told the full truth about our dependence on imported oil, which is now costing us $10 million an hour, every hour, all year long.  "
China Looks Into U.S. Energy Trade Policies,"The nation’s commerce ministry opened an investigation on whether American subsidies in the solar, wind and hydroelectric sectors had hurt development of those industries in China."
Abu Dhabi Explores Energy Alternatives,"The capital of an oil-rich land is embracing clean-energy technology using the sun, wind and hydrogen."
Questions About Energy and Cities,Questions and answers on energy and cities.
Clean Energy Funding Trumps Fossil Fuels,"Investment in new capacity to produce power from renewable sources overtook investment in fossil fuel-based sources in 2008, although overall investment in cleaner power slowed."
$90 Billion for Green Energy? A Closer Look,Parsing the accuracy of Mitt Romney’s remarks about $90 billion in green energy spending by the Obama administration.
Where’s That Energy Bill?,"With Congress feeling the pressure to do something, there’s a danger that vital provisions could be dropped just for the sake of producing a bill."
RWE's pain over renewables,"German utility RWE is ""not out of the woods yet,"" according to its chief executive.  As Amy Pollock reports his comments follow a further fall in the group's operating profit as it grapples with falling prices and changes to Germany's energy policies."
A Republican Shout-Out for Wind Energy,Candidates carved out time to autograph a wind turbine during Iowa’s straw poll last weekend. Yet their positions on tax credits for the wind industry vary.
G.E. to Spin Off New Energy Technologies in One Company,"The industrial giant said the new company would be more nimble and house developing sectors like renewable generation, energy efficiency and storage."
Illuminating the Future of Energy,The era of easily accessible fossil fuels is likely to be but a brief blip in the history of humanity.
Potential Grows for Biomass Energy,But critics are worried that the technology carries its own risks of causing environmental damage.
LIPA to Spend $14.4 Million on Efficient Energy Programs,Commercial and residential solar power systems and other renewable energy programs are planned amid anticipation that federal support for such efforts will increase.
Duke Energy to Rent Rooftops,"Putting solar panels on the roof can cost a homeowner tens of thousands of dollars up front. That’s a lot of cash in a tight market, even if the goal is clean, renewable energy."
House Revising Energy Panels; Breaking Up a Logjam ,"WASHINGTON, Dec. 3--The House of Representatives is moving to change substantially its way of shaping energy legislation in an effort to consolidate authority that has been scattered among as many as 83 committees and subcommittees.  "
'Dead-end' Austrian town blossoms with green energy,"GÜSSING, Austria — For decades, the Austrian town of Güssing was a forgotten outpost not far from the rusting barbed-wire border of the Iron Curtain."
Energy Storage Industry Gaining Momentum,"Despite decades of public and private research and investment, the storage industry has struggled to take off, though there are signs that this may be changing."
On Our Radar: Fake Clean Energy Credits,The prosecution of a man accused of selling fraudulent credits has prompted calls for an inquiry into renewable energy mandates.
Energy Leapfrogging: A View from Togo,"As solar power and other renewables become more efficient and less expensive, environmentalists hope to incorporate the technologies into international development."
Executive Departures at Clean Energy Firms,"In the last week, the president of SolarReserve and the chief executives of Clipper Windpower and Aurora Biofuels have stepped down."
U.K. Focuses on Wind to Improve Energy Profile,"Despite growing opposition from citizens, nature conservation trusts and local lawmakers, the British government continues to push for more wind farms."
Would Failure to Renew Tax Credits Doom Clean Energy?,What if Congress does not enact the tax credits? Would plans to build wind and solar farms suddenly die on the vine?
More Insights: Clean Energy and the Credit Squeeze,The credit crunch may put the squeeze on renewables in the long run…
Google and G.E. Set Energy Initiatives,From Miguel Helft at Bits:
Alaska Lawmakers Override Palin Veto of Energy Funds,Alaskan lawmakers override veto of stimulus money for energy efficiency.
On Our Radar: ‘Viciously More Expensive’ Energy,"Energy prices will become “viciously more expensive” and more polluting if governments do not promote renewable energy and nuclear power in the next two decades, the International Energy Agency warns."
German Energy Push Runs Into Problems,Berlin's ambition to use renewable power sources without harming its industrial might has gained urgency with new uncertainties about Russian gas.
Funds to fuel green energy run dry,"BRUSSELS — Investors in clean energy are like motorists stuck at broken traffic lights. The public policy light is green, but the price and credit lights are deep red."
Google and General Electric Team Up on Energy Initiatives,Google and General Electric said they would team up on a technology and policy effort aimed at increasing the capacity and versatility of the power grid.
Fate of Clean-Energy Tax Credits Now Riding on Bailout,The tax credits for renewables have been attached to the bailout bill in the Senate…
Funds to fuel green energy run dry,"BRUSSELS — Investors in clean energy are like motorists stuck at broken traffic lights. The public policy light is green, but the price and credit lights are deep red."
‘The NEG’ Aims to Be Australia’s Latest Energy Solution. Will It Work?,"Some critics say the National Energy Guarantee, which is meant to curb emissions while stabilizing the energy market, does not do enough to fight climate change."
Britain sets out plans to secure energy and fight warming,"LONDON — Britain on Wednesday set out plans to secure energy supplies and fight global warming, calling for new nuclear power plants, more renewable energy and greater efficiency."
How Greek Islands Are Labs for Clean Energy,Many Greek islands are being used for innovative experiments to drive the clean power shift.
A Clean Energy Uprising in California,"An election-day rebellion is underway in San Francisco against Pacific Gas &#038; Electric, a big California utility."
Energy and Climate on the White House Agenda,"President Obama hosted a casual off-the-record meeting with a diverse group of energy and climate change experts at the White House on Thursday evening, officials and participants said."
"Investments pour into solar energy, but the sector is scary","When Rick Hanna and his fellow energy analysts at Morningstar in Chicago sat down recently to discuss solar energy stocks, the question on the table was this: Is solar the next Internet-style bubble?"
France: Alstom Buys a Wind Energy Company,"Alstom, a maker of coal-fired power stations, agreed to buy Ecotècnia of Spain to enter the wind energy market. Alstom will pay 350 million euros ($471 million) for Ecotècnia, which also makes solar panels, it said. The purchase will help Alstom, which is based in Paris, expand in the United States and Asia, it said. Buying Ecotècnia strengthens Alstom’s presence in renewable energy as governments seek alternatives to coal, gas and oil. Alstom also sells hydroelectric equipment and worked with Russia’s state nuclear agency in April to develop atomic plants."
The Missing Energy Strategy,"Editorial argues that Iraqi Pres Saddam Hussein's decision to halt oil imports to United States, at least temporarily, in retaliation for Washington's support of Israel is yet another reason for nation to re-examine its energy strategy"
"Hit Hard by High Energy Costs, Hawaii Looks to the Sun","The state is seeking to replace coal and oil with solar energy, aiming to rely extensively on rooftop panels on single-family homes."
The End of Clean Energy Subsidies?,"Unless Congress acts, promising renewable power sources will wither and jobs will disappear."
Illuminating the Future of Energy,"To have constructive conversations about the world’s energy options, one needs to take a calm look at the numbers."
Merkel confronts energy industry with policy overhaul,"BERLIN — The German chancellor, Angela Merkel, Tuesday announced an ambitious plan to reduce greenhouse emissions by up to 40 percent by 2020, an initiative welcomed by environmentalists but harshly criticized by the energy industry, a powerful lobby."
Charting Clean-Energy Paths in New York and Beyond,Digging in on ways to move the clean-energy discussion from menus to outcomes.
Signs of Energy,"Editorial says divided Congress and disengaged administration seem incapable of arriving at disciplined program to use more efficiently the fossil fuels we have, coupled with aggressive efforts to develop renewable sources of energy; sees hopeful signs that states and private sector are willing to fill policy vacuum, but still sees need for national policy"
Underway in Barcelona: the Global Clean Energy Forum,"As the Global Clean Energy Forum gets underway in Barcelona, the International Herald Tribune has published a series of articles on the subject. Rendezvous will be showing live and recorded video from the conference."
BP Reports a Huge Loss and Vows to Increase Renewable Investment,The European oil giant has plans for a future with more electrical generation.
Illuminating the Future of Energy,"To have constructive conversations about the world's energy options, one needs to take a calm look at the numbers."
"In Europe, Green Energy Takes a Hit From Debt Crisis",The renewable energy industry seeks new solutions as cash-strapped countries cut financial support for green energy investments.
Governor Plans an Energy Shift for Illinois,"Illinois Gov Rod R Blagojevich, citing high fuel costs and dependence on foreign oil, will announce $1.2 billion plan to overhaul state's energy sources; his Republican gubernatorial opponent Judy Baar Topinka questions his record on renewable energy and timing of announcement (M)"
Audubon Group Warns Of Solar Energy Danger,"  Solar power and other renewable energy sources present ''environmental risks'' that must be evaluated in any major drive for alternatives to fossil fuels, the Audubon Society says."
Citing the Gipper in an Energy Debate,Ronald Reagan’s secretary of state weighs in to defend California’s policy on energy and global warming.
"At Development Talks, U.S. and Its Allies Clash Over Issues of Energy and Pollution","United States and European Union officials, attending United Nations talks in South Africa, are clashing over strategies to preserve planet; allies are battling over question of targets and time frames for conversion from oil and gas to windmills and solar panels, for cleanup of garbage and hazardous pollutants and for preservation of endangered plants and animals; dispute has aggravated tensions that have been simmering since Pres Bush refused to ratify international treaty aimed at preventing global warming; rift is most visible in debate over renewable energy; United States rejects plan favored by European Union to commit to ensuring that renewable energy sources account for 15 percent of world's total energy production by 2010; Canada and Saudi Arabia, significant producers of fossil fuels, also object; photo (M)"
Correction: Renewable Energy’s Odd Couple,A picture caption last Sunday with an article about the success of Texas and California in pursuing clean energy technologies misidentified the solar technology shown. Mirrors — not solar panels — were shown at a solar thermal plant.
German Plan to Abandon Its Nuclear Energy Lags,Chancellor Angela Merkel has acknowledged that her ambition for a Germany that runs on renewable energy is falling behind schedule and faces a range of obstacles.
Dark Days for Green Energy,"After years of blistering growth, installation of wind and solar power is plummeting due to the credit crisis and the broader economic downturn."
"State Energy Plan Promotes Clean, Efficient Alternatives",A New York board recommended increased reliance on natural gas and renewable energy sources like wind and sunshine.
Energy Panels Look To Sun as a Solution,"ON the sixth floor of Macy's, in the tableware section, and in bank auditoriums around the city, America's energy crisis  was solved this week.  "
City Is Looking at Sewage Treatment as a Source of Energy,"Vast amounts of sludge, methane gas and other wastewater byproducts are potential sources of renewable energy."
Ground Broken for Wind Energy Project in Mojave,"Renewable energy developers broke ground Tuesday for a major expansion of wind-power generation in the Mojave Desert north of Los Angeles, The Associated Press reported."
A Rare Peek at Green Energy Economics,"Innovative financing and royalties agreements appear to be part of a major deal between Pacific Gas & Electric and BrightSource Energy, a solar power plant builder based in Oakland, Calif."
States Wrestle With Diversifying Energy Portfolios,States navigate choppy waters when diversifying their energy portfolios.
Nuclear Plant Closing Reflects Overhaul of German Energy Production,The shutdown is a milestone in the country’s push to establish a nuclear-free energy system by 2022.
Poor County Feels Domino Effect of Energy Crisis,"Imperial County, Calif, located on border with Mexico, is not facing rolling blackouts like those imposed elsewhere in state, but is facing financial troubles arising from energy crisis; CalEnergy Operating Corp, renewable energy provider with geothermal plants in county and its largest taxpayer, says it will not be able to make $3.9 million property tax payment due Apr 10 because it has not been paid by Southern California Edison for five months; photo (M)"
"Amid Heat Wave, California Asks Electric Vehicle Owners to Limit Charging",Critics of the state’s push to end reliance on gas-powered vehicles seized on the news. But environmentalists said the extreme weather underscored the need for the E.V. transition.
"Apple Becomes a Green Energy Supplier, With Itself as Customer","As a wholesaler, the company can cut power costs and carbon dioxide emissions. It will get much of its supply from a solar energy farm now being built."
Senate Passes Legislation Tailored to a Modern Energy Landscape,Republicans and Democrats united around a measure to better align the nation’s energy infrastructure with the changing ways that power is produced.
An Energy Bill in Need of Fixes,A Senate bill could boost solar and wind energy but would encourage the burning of trees to generate electricity.
A Rare Peek at Green Energy Economics,"Innovative financing and royalties agreements appear to be part of a major deal between Pacific Gas &#038; Electric and BrightSource Energy, a solar power plant builder based in Oakland, Calif."
"Energy for a Rainy Day, or a Windless One","As the production of energy grows, there’s a new need for energy companies to build up to 1.3 gigawatts of energy storage."
U.S. Government Plans to Reduce Its Energy Use,"The federal government, the largest user of energy in the country, will take steps to reduce its emissions by 28 percent by 2020, compared with 2008 levels."
Environmentalists Sue Over Energy Transmission Across Federal Lands,A coalition of environmental groups is suing federal agencies in an effort to change the location of corridors to transmit energy across western lands.
America’s New Energy Reality,The United States is now a much more significant energy producer than the last time we elected a president.
"In Visits to 3 States, Bush Pushes Alternative Energy","Pres Bush visits three states to promote his plan to reduce American dependence on foreign oil by using alternative energy sources and technologies, including battery-powered cars and solar energy; does not repeat promise to cut back on Middle East imports, which drew complaints from OPEC and was disavowed by Energy Sec Samuel W Bodman; some three dozen workers at Energy Department's National Renewable Energy Laboratory are rehired after being laid off soon after Bush's State of Union address promoting renewable energy (M)"
Obama’s Wish List for Energy,"The proposed $27.2 billion budget request for the Department of Energy is mostly about nuclear weapons, including nonproliferation and cleanup efforts."
New Energy Outfoxes Old in California,Voters in California proved that clean energy policy can be a political winner. Washington should take note.
Trying to Save Energy May Come at a Price,Davies Associates audit concludes that plan by New Jersey regulators to collect nearly $1 billion over next seven years from utility customers for energy conservation measures is flawed; recommends that state more clearly define program goals and scale back or eliminate those not expected to produce long-term results; photo (M)
The Tragedy of Germany’s Energy Experiment,The country is moving beyond nuclear power. But at what cost?
U.N. PLANS PARLEY ON ENERGY SOURCES,"  As the Reagan Administration moves to cut back on Federal efforts to develop renewable energy sources and other alternatives to oil, the rest of the world is starting to move in the opposite direction.   Next month, the United Nations will hold a conference on new and renewable sources of energy in Nairobi, Kenya. The purpose, according to Enrique V. Iglesias, the secretary general of the conference, is to create a worldwide climate of opinion that will pave the way for accelerated development of alternatives to fossil fuels.   In a recent interview, Mr. Iglesias, a Uruguayan, said it was important for the world to begin ''to move away from oil to a new energy mix.''"
India Increases Effort to Harness Biomass Energy,"The prime minister of India has called for a doubling of the alternative energy supply by 2017, and some see a big opportunity in using the country’s abundance of agricultural waste as fuel."
New Sources of Energy Sought for Britain's Future,A new energy bill is aimed at encouraging investment in new types of power to replace a generation of aging power plants. But experts and officials are split on how best to do this.
"With Much of the World’s Economy Slowed Down, Green Energy Powers On",Wind giants are trying to shrug off the effects of the pandemic.
New Allies in the Energy Wars,"Editorial applauds statement signed by New Mexico Gov Bill Richardson and California Gov Arnold Schwarzenegger strongly endorsing energy efficiency and setting aggressive targets for much greater use of wind, solar, biomass and other forms of renewable energy throughout West; notes it was presented at 'energy summit' of governors and respresentatives from 18 Western states, area of country not usually associated with innovative thinking on energy policy (National Edition)"
Energy Plan From the Greenhouse Giants,The United States and China unveil a suite of projects aimed at expanding energy choices while limiting emissions.
Expansion of Clean Energy Loans Is ‘Sleeping Giant’ of Climate Bill,The bill President Biden signed into law recently will greatly expand government loans and loan guarantees for clean energy and automotive projects and businesses.
VSPs of Energy,Missing the boat on alternatives to burning.
Can New York Really Get to 100% Clean Energy by 2040?,"Clean power supply is being generated in upstate New York, but it is not making its way to New York City, the area that relies most heavily on power from fossil fuels."
Money Flows For Cutting-Edge Energy Ideas,A closer look at potentially transformational energy ideas.
South Korea seeks cleaner energy sources,SEOUL — South Korea plans to break ground for the world's biggest solar power plant on Thursday as it tries to diversify its power sources and use cleaner energy.
Dark days for green energy,"Wind and solar power have been growing at a blistering pace in recent years, and that growth seemed likely to accelerate under the green-minded Obama administration. But because of the credit crisis and the broader economic downturn, the opposite is happening: installation of wind and solar power is plummeting."
Energy Thinkers Ponder the Future,A group of energy industry experts and policy analysts chime in on questions about what an Obama administration can and should do regarding the nation's energy future.
U.S. Set to Oppose International Plan For Cleaner Energy,"Bush administration officials say US will oppose international drive to phase out fossil fuel subsidies and increase financing for nonpolluting energy sources worldwide; proposals, contained in report commissioned by Group of 8 industrial nations, would commit rich nations to help one billion people around the world get their power from renewable energy sources, like wind, water and sun; White House says it wants to let marketplace, rather than government, decide how quickly renewable energy sources are adopted worldwide; critics say it is yet another instances of Bush administrattion's placing interest of oil and gas companies ahead of drive to reduce global warming (M)"
"At Old Manufacturing Sites, Renewables Rise","As the clean energy manufacturing base in this country grows, it often builds upon the facilities and expertise of struggling traditional industries such as steel or pulp and paper."
A Curmudgeon’s View of the Energy Challenge,An environmental professor believes that simple tools for energy conservation already exist but that rich nations choose not to deploy them.
Offshore Wind Farm Raises Hopes of U.S. Clean Energy Backers,"Supporters hope that the modest five-turbine project, the nation’s first commercial scale offshore wind farm, will propel larger efforts at clean energy."
Cities Target Lending to Speed Energy Projects,"A number of municipalities across the country are getting creative and experimenting with incremental, neighborhood- or district-based lending programs that help homeowners pay the up-front capital costs for efficiency or renewable energy projects."
"For Clean Energy, Buy American or Buy It Quick and Cheap?",President Biden says slowing climate change will create jobs. Tension between unions and environmentalists shows it’s not so simple.
A Different Era for Alternative Energy,"Alternative energy sources are growing rapidly, independent of rising oil and natural gas prices; many experts say renewable energy projects will not suffer as badly as they once would have should fossil fuel prices recede from current high levels; cite dramatically improved technologies that have brought down prices; overall role of alternative energy in energy supply remains small, because alternatives are still more expensive than energy produced from fossil fuel; photos (M)"
Venezuelan Oil Minister Urges Energy Alliance; Vast Potential Resources ,"Asserting that ""the oil situation of our own Western Hemisphere is even more serious than the world's average,"" Humberto Calderon Berti, energy minister of Venezuela and president of the Organization of Petroleum Exporting Countries, proposed yesterday that the countries of North and South America form an energy alliance aimed at developing greater supplies and moderating future demand.  "
Guiding Europe Toward Clean Energy,An official from Germany has won cautious praise from environmental groups for encouraging discussion about using vastly more renewable sources.
The Challenge of Storing Energy on a Large Scale,"Renewable energy is all the rage, but a climate-friendly, secure and affordable supply of electricity will be impossible unless researchers can overcome the challenge of mass energy storage."
Energy Thinkers Ponder the Future,A group of energy industry experts and policy analysts chime in on questions about what an Obama administration can and should do regarding the nation’s energy future.
Catalonia Steps Up Clean Energy Ambitions,The government of Catalonia approved a decree last month calling for the construction of solar panels on the roofs of 108 public schools.
Spain bets on fair winds for energy lift - Business - International Herald Tribune,"MADRID — Even as Britain, following a detailed review, mulls over the need for increased nuclear capacity, Spain has the bit between its teeth as it champions renewable energy."
Disputed Solar Energy Project in California Desert Is Dropped,"Environmentalists succeeded in blocking a 5,130-acre solar power farm that would have risen in the Mojave Desert."
"Daily Report: More Clean Energy, Brought to You by the Cloud","Big data centers for the likes of Apple, Facebook and Google are increasing the demand for renewable energy, which may spur the construction of green facilities."
Project Tests New Storage for Energy,"Oncor is installing batteries that will provide backup power in a South Dallas neighborhood, a move that is part of a larger trend of investing in energy from sources like wind and the sun."
"SunEdison and TerraForm Buy First Wind, Gaining a Toehold in Turbines",SunEdison said the purchase would make it the world’s largest renewable energy development company.
World Briefing | Europe: European Union Energy Plan,"Executive arm of European Union announces new element in strategy to wean union off fossil fuels, pledging more money for renewable and hydrogen-based clean energy (S)"
Merkel confronts German energy industry with radical policy overhaul,"BERLIN — The German chancellor, Angela Merkel, Tuesday announced an ambitious plan to reduce greenhouse emissions by up to 40 percent by 2020, an initiative welcomed by environmentalists but harshly criticized by the energy industry, a powerful lobby."
All Biden Has to Do Now Is Change the Way We Live,"The president’s legacy — and our climate future — will turn on what actually gets built, and how fast."
Catalonia Steps Up Clean Energy Ambitions,The government of Catalonia approved a decree last month calling for the construction of solar panels on the roofs of 108 public schools.
Senate Makes Environment the Focus of Energy Bill,"Heading toward a collision with the House and White House, the Senate sought Thursday to put an environmentally friendly stamp on its energy legislation as lawmakers and President Bush struggle to agree on an elusive national power policy.    In an effort to strengthen their hand in looming negotiations with the House, senators voted 52 to 48 to require power companies to use more renewable fuels like wind and solar power to generate electricity. At the same time, the Finance Committee approved a $14 billion tax incentive package that rewards alternative fuels and energy efficiency.  "
Greece Is Getting Rewired for the Future,"As climate change bears down, Greece is upending its sources of energy and trying to reshape its economic destiny."
Nuclear Power and the Need for Energy: More Opinions,
"Greek authorities want to tap wind and solar energy, but islanders resist","ATHENS — While Greek authorities are taking steps to harness the country's untapped potential in wind and solar energy, and to meet European Union targets on curbing the use of polluting fossil fuels, the residents of Aegean islands are opposing the drive, afraid that towering wind turbines will mar the natural beauty of their communities and offend the tourists on whom they rely."
Ministers Wrap Up Clean Energy Meeting,"Ministers meeting in London agreed to share technology on energy-efficient appliances, map the potential for solar and wind energy and bring modern lighting to two million people in India by the end of 2015."
"S. David Freeman, 94, Tireless Advocate for Clean Energy, Dies","A folksy but forceful “Green Cowboy,” he helped shape energy policy in the White House and at local utilities for seven decades."
Blackstone Hires UBS Banker to Lead Energy Advisory Group,James R. Schaefer was most recently global head of the power and renewable energy group at UBS. He will be a senior managing director at Blackstone Advisory Partners.
Iberdrola Wins Big on Clean-Energy Grants,"Iberdrola, the Spanish energy giant, has emerged as the early winner in the United States government's plan to aid the nation's clean-energy sector."
Clean energy investment lags as oil and gas prices soar.,The head of the International Energy Agency said high prices for fossil fuels would probably persist for years.
Energy Crunch for Britain’s Poor,"The Labour Party blames the rise in consumer energy prices on corporate greed, but Prime Minister David Cameron faults environmental levies."
Don’t Let China Win the Green Race,"America should be leading the way on clean energy, not falling behind."
Crowdfunding Clean Energy,There are plenty of recent signs that we may be witnessing the coming of age of solar power.
"America’s Energy Challenge, and Opportunity","Some proposals for Obama on building a sustained, and sustainable, American energy quest."
"Building Sustainable Energy Access, from the Outside In",How much energy access in poor places can come from off and on the grid — and with or without big greenhouse-gas contributions?
Report Calls for Huge Investment in Energy Development,"The International Energy Agency said $40 trillion would be needed through 2025, but even that level of investment would not solve the industry’s problems."
Iberdrola Wins Big on Clean-Energy Grants,"Iberdrola, the Spanish energy giant, has emerged as the early winner in the United States government’s plan to aid the nation’s clean-energy sector."
Energy Ended Up as a Good Bet Last Year. But Now What?,"Oil prices soared in 2021, giving a boost to the stocks of energy companies. But with the world shifting toward greener alternatives, don’t count on that trend continuing."
Japan's energy wisdom,"KUZUMAKI, Japan — This rural farming community in Iwate prefecture, several hours north of Tokyo, is ""Aiming to be Number One"" in renewable energy in an already fairly eco-conscious country. Reminiscent of Vermont, but with more dramatic mountains, more slogans promoting civic pride, and more cows than people, the ""Land of Milk and Wine"" wants to add ""Clean Energy"" to its portfolio. It's a redevelopment strategy cooked up by Kuzumaki's dynamic mayor, Tetsuo Nakamura, a former veterinarian and rancher who is alarmed at the town's declining population and the dairy industry's precarious health."
Glut of Coal-Fired Plants Casts Doubts on China’s Energy Priorities,"Renewable-energy supporters wonder if China is weaning itself from coal as quickly as it can, and if leaders will ever fulfill their promise of basing the economy on consumption rather than investment."
"Behind India’s Grid Breakdown, Deeper Energy Issues – and Opportunities",An Indian energy entrepreneur says fixing the country’s failing grid would miss the point.
